,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,peace river,,,,,,,,
1,punta arenas,,,,,,,,
2,hobart,,,,,,,,
3,chegdomyn,,,,,,,,
4,kaura namoda,,,,,,,,
5,talnakh,,,,,,,,
6,mataura,,,,,,,,
7,vila franca do campo,,,,,,,,
8,sakaiminato,,,,,,,,
9,grand gaube,,,,,,,,
10,saint-philippe,,,,,,,,
11,albany,,,,,,,,
12,pangnirtung,,,,,,,,
13,palmer,,,,,,,,
14,saint-augustin,,,,,,,,
15,busselton,,,,,,,,
16,cabo san lucas,,,,,,,,
17,mys shmidta,,,,,,,,
18,tuatapere,,,,,,,,
19,qaanaaq,,,,,,,,
20,taltal,,,,,,,,
21,alta floresta,,,,,,,,
22,puerto ayora,,,,,,,,
23,arraial do cabo,,,,,,,,
24,rio grande,,,,,,,,
25,hermanus,,,,,,,,
26,ambon,,,,,,,,
27,batatais,,,,,,,,
28,severo-kurilsk,,,,,,,,
29,rikitea,,,,,,,,
30,broken hill,,,,,,,,
31,belushya guba,,,,,,,,
32,bonoua,,,,,,,,
33,port alfred,,,,,,,,
34,mahebourg,,,,,,,,
35,christchurch,,,,,,,,
36,nikolskoye,,,,,,,,
37,deputatskiy,,,,,,,,
38,saleaula,,,,,,,,
39,ushuaia,,,,,,,,
40,port hardy,,,,,,,,
41,umm durman,,,,,,,,
42,nanortalik,,,,,,,,
43,moron,,,,,,,,
44,amozoc,,,,,,,,
45,victoria,,,,,,,,
46,bambous virieux,,,,,,,,
47,kaitangata,,,,,,,,
48,mecca,,,,,,,,
49,terre haute,,,,,,,,
50,hilo,,,,,,,,
51,boddam,,,,,,,,
52,port elizabeth,,,,,,,,
53,klaksvik,,,,,,,,
54,lazaro cardenas,,,,,,,,
55,tsihombe,,,,,,,,
56,east london,,,,,,,,
57,sitka,,,,,,,,
58,provideniya,,,,,,,,
59,auki,,,,,,,,
60,grindavik,,,,,,,,
61,farafangana,,,,,,,,
62,carnarvon,,,,,,,,
63,cherskiy,,,,,,,,
64,yellowknife,,,,,,,,
65,tabas,,,,,,,,
66,saskylakh,,,,,,,,
67,avarua,,,,,,,,
68,ribeira grande,,,,,,,,
69,fort nelson,,,,,,,,
70,ambulu,,,,,,,,
71,hami,,,,,,,,
72,tuktoyaktuk,,,,,,,,
73,tautira,,,,,,,,
74,jamestown,,,,,,,,
75,taolanaro,,,,,,,,
76,hasaki,,,,,,,,
77,solnechnyy,,,,,,,,
78,butaritari,,,,,,,,
79,cape town,,,,,,,,
80,vaini,,,,,,,,
81,bredasdorp,,,,,,,,
82,tarko-sale,,,,,,,,
83,egvekinot,,,,,,,,
84,yantal,,,,,,,,
85,xining,,,,,,,,
86,bima,,,,,,,,
87,san cristobal,,,,,,,,
88,labrea,,,,,,,,
89,monterey,,,,,,,,
90,kodiak,,,,,,,,
91,upernavik,,,,,,,,
92,thompson,,,,,,,,
93,airai,,,,,,,,
94,pevek,,,,,,,,
95,bluff,,,,,,,,
96,sur,,,,,,,,
97,kyra,,,,,,,,
98,serik,,,,,,,,
99,seymchan,,,,,,,,
100,atuona,,,,,,,,
101,livingston,,,,,,,,
102,mahibadhoo,,,,,,,,
103,saint-joseph,,,,,,,,
104,presidencia roque saenz pena,,,,,,,,
105,ascension,,,,,,,,
106,sovetskiy,,,,,,,,
107,lebu,,,,,,,,
